,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
INT-World Cup,1970,Italy,17,27.6,,6,66,570,6.3,9,,,9,0,,6,0,,,,,,,1.42,,,1.42,,,,,,,/en/squads/998c5958/1970/Italy-Men-Stats
INT-World Cup,1970,Mexico,17,28.3,,4,44,360,4.0,6,,,5,1,,3,0,,,,,,,1.5,,,1.25,,,,,,,/en/squads/b009a548/1970/Mexico-Men-Stats
INT-World Cup,1970,Morocco,17,24.7,,3,39,270,3.0,2,,,2,0,,0,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/af41ccda/1970/Morocco-Men-Stats
INT-World Cup,1970,Peru,18,25.6,,4,44,360,4.0,9,,,9,0,,0,0,,,,,,,2.25,,,2.25,,,,,,,/en/squads/f711c854/1970/Peru-Men-Stats
INT-World Cup,1970,Romania,14,24.5,,3,33,270,3.0,4,,,3,1,,3,0,,,,,,,1.33,,,1.0,,,,,,,/en/squads/7def9493/1970/Romania-Men-Stats
INT-World Cup,1970,Soviet Union,17,26.2,,4,44,390,4.3,6,,,6,0,,6,0,,,,,,,1.38,,,1.38,,,,,,,/en/squads/eb70026e/1970/Soviet-Union-Men-Stats
INT-World Cup,1970,Sweden,19,26.7,,3,33,270,3.0,2,,,2,0,,2,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/296f69e7/1970/Sweden-Men-Stats
INT-World Cup,1970,Uruguay,18,26.1,,6,66,570,6.3,4,,,4,0,,7,0,,,,,,,0.63,,,0.63,,,,,,,/en/squads/870e020f/1970/Uruguay-Men-Stats
INT-World Cup,1970,West Germany,19,26.9,,6,66,600,6.7,17,,,16,1,,5,0,,,,,,,2.55,,,2.4,,,,,,,/en/squads/c1e40422/1970/West-Germany-Men-Stats
INT-World Cup,1974,Argentina,19,25.5,,6,66,540,6.0,9,,,9,0,,8,0,,,,,,,1.5,,,1.5,,,,,,,/en/squads/f9fddd6e/1974/Argentina-Men-Stats
INT-World Cup,1974,Australia,15,27.7,,3,33,270,3.0,0,,,0,0,,2,1,,,,,,,0.0,,,0.0,,,,,,,/en/squads/b90bf4f9/1974/Australia-Men-Stats
INT-World Cup,1974,Brazil,18,25.6,,7,77,630,7.0,6,,,6,0,,11,1,,,,,,,0.86,,,0.86,,,,,,,/en/squads/304635c3/1974/Brazil-Men-Stats
INT-World Cup,1974,Bulgaria,16,25.0,,3,33,270,3.0,1,,,1,0,,2,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/06d209d4/1974/Bulgaria-Men-Stats
INT-World Cup,1974,Chile,16,28.2,,3,33,270,3.0,1,,,1,0,,5,1,,,,,,,0.33,,,0.33,,,,,,,/en/squads/7fd9c2a2/1974/Chile-Men-Stats
INT-World Cup,1974,Germany DR,19,25.0,,6,66,540,6.0,4,,,4,0,,10,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/65113c43/Germany-DR-Men-Stats
INT-World Cup,1974,Haiti,19,25.7,,3,33,270,3.0,2,,,2,0,,3,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/61828292/1974/Haiti-Men-Stats
INT-World Cup,1974,Italy,15,29.1,,3,33,270,3.0,4,,,4,0,,2,0,,,,,,,1.33,,,1.33,,,,,,,/en/squads/998c5958/1974/Italy-Men-Stats
INT-World Cup,1974,Netherlands,15,26.4,,7,77,630,7.0,15,,,12,3,,11,0,,,,,,,2.14,,,1.71,,,,,,,/en/squads/5bb5024a/1974/Netherlands-Men-Stats
INT-World Cup,1974,Poland,16,25.1,,7,77,630,7.0,16,,,15,1,,5,0,,,,,,,2.29,,,2.14,,,,,,,/en/squads/8912dcf0/1974/Poland-Men-Stats
INT-World Cup,1974,Scotland,14,25.8,,3,33,270,3.0,3,,,3,0,,3,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/602d3994/1974/Scotland-Men-Stats
INT-World Cup,1974,Sweden,18,27.0,,6,66,540,6.0,7,,,7,0,,5,0,,,,,,,1.17,,,1.17,,,,,,,/en/squads/296f69e7/1974/Sweden-Men-Stats
INT-World Cup,1974,Uruguay,15,27.4,,3,33,270,3.0,1,,,1,0,,5,1,,,,,,,0.33,,,0.33,,,,,,,/en/squads/870e020f/1974/Uruguay-Men-Stats
INT-World Cup,1974,West Germany,18,26.8,,7,77,630,7.0,13,,,11,2,,3,0,,,,,,,1.86,,,1.57,,,,,,,/en/squads/c1e40422/1974/West-Germany-Men-Stats
INT-World Cup,1974,Yugoslavia,18,25.4,,6,66,540,6.0,12,,,12,0,,10,0,,,,,,,2.0,,,2.0,,,,,,,/en/squads/7dc9f983/1974/Yugoslavia-Men-Stats
INT-World Cup,1974,Zaire,16,25.6,,3,33,270,3.0,0,,,0,0,,2,1,,,,,,,0.0,,,0.0,,,,,,,/en/squads/9be9f315/1974/Zaire-Men-Stats
INT-World Cup,1978,Argentina,17,25.3,,7,77,660,7.3,15,,,14,1,,5,0,,,,,,,2.05,,,1.91,,,,,,,/en/squads/f9fddd6e/1978/Argentina-Men-Stats
INT-World Cup,1978,Austria,17,26.8,,6,66,540,6.0,6,,,5,1,,2,0,,,,,,,1.0,,,0.83,,,,,,,/en/squads/d5121f10/1978/Austria-Men-Stats
INT-World Cup,1978,Brazil,17,25.3,,7,77,630,7.0,10,,,9,1,,9,0,,,,,,,1.43,,,1.29,,,,,,,/en/squads/304635c3/1978/Brazil-Men-Stats
INT-World Cup,1978,France,22,25.5,,3,33,270,3.0,5,,,5,0,,3,0,,,,,,,1.67,,,1.67,,,,,,,/en/squads/b1b36dcd/1978/France-Men-Stats
INT-World Cup,1978,Hungary,18,28.9,,3,33,270,3.0,3,,,2,1,,4,2,,,,,,,1.0,,,0.67,,,,,,,/en/squads/b4ac5e97/1978/Hungary-Men-Stats
INT-World Cup,1978,IR Iran,15,25.7,,3,33,270,3.0,2,,,2,0,,3,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/6a08f71e/1978/IR-Iran-Men-Stats
INT-World Cup,1978,Italy,17,26.4,,7,77,630,7.0,8,,,8,0,,6,0,,,,,,,1.14,,,1.14,,,,,,,/en/squads/998c5958/1978/Italy-Men-Stats
INT-World Cup,1978,Mexico,19,23.5,,3,33,270,3.0,2,,,1,1,,1,0,,,,,,,0.67,,,0.33,,,,,,,/en/squads/b009a548/1978/Mexico-Men-Stats
INT-World Cup,1978,Netherlands,19,27.9,,7,77,660,7.3,15,,,11,4,,8,1,,,,,,,2.05,,,1.5,,,,,,,/en/squads/5bb5024a/1978/Netherlands-Men-Stats
INT-World Cup,1978,Peru,18,27.6,,6,66,540,6.0,7,,,5,2,,7,0,,,,,,,1.17,,,0.83,,,,,,,/en/squads/f711c854/1978/Peru-Men-Stats
INT-World Cup,1978,Poland,17,27.0,,6,66,540,6.0,6,,,6,0,,3,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/8912dcf0/1978/Poland-Men-Stats
INT-World Cup,1978,Scotland,18,27.5,,3,33,270,3.0,4,,,3,1,,1,0,,,,,,,1.33,,,1.0,,,,,,,/en/squads/602d3994/1978/Scotland-Men-Stats
INT-World Cup,1978,Spain,19,26.5,,3,33,270,3.0,2,,,2,0,,1,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/b561dd30/1978/Spain-Men-Stats
INT-World Cup,1978,Sweden,15,27.6,,3,33,270,3.0,1,,,1,0,,1,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/296f69e7/1978/Sweden-Men-Stats
INT-World Cup,1978,Tunisia,14,25.4,,3,33,270,3.0,3,,,3,0,,1,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/a7c7562a/1978/Tunisia-Men-Stats
INT-World Cup,1978,West Germany,16,27.4,,6,66,540,6.0,10,,,10,0,,4,0,,,,,,,1.67,,,1.67,,,,,,,/en/squads/c1e40422/1978/West-Germany-Men-Stats
INT-World Cup,1982,Algeria,16,26.6,,3,33,270,3.0,5,,,5,0,,2,0,,,,,,,1.67,,,1.67,,,,,,,/en/squads/1e2dba57/1982/Algeria-Men-Stats
INT-World Cup,1982,Argentina,16,27.5,,5,55,450,5.0,8,,,7,1,,7,2,,,,,,,1.6,,,1.4,,,,,,,/en/squads/f9fddd6e/1982/Argentina-Men-Stats
INT-World Cup,1982,Austria,18,27.5,,5,55,450,5.0,5,,,5,0,,6,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/d5121f10/1982/Austria-Men-Stats
INT-World Cup,1982,Belgium,20,26.6,,5,55,450,5.0,3,,,3,0,,3,0,,,,,,,0.6,,,0.6,,,,,,,/en/squads/361422b9/1982/Belgium-Men-Stats
INT-World Cup,1982,Brazil,16,27.1,,5,55,450,5.0,15,,,15,0,,2,0,,,,,,,3.0,,,3.0,,,,,,,/en/squads/304635c3/1982/Brazil-Men-Stats
INT-World Cup,1982,Cameroon,13,28.1,,3,33,270,3.0,1,,,1,0,,4,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/896550da/1982/Cameroon-Men-Stats
INT-World Cup,1982,Chile,16,27.8,,3,33,270,3.0,3,,,2,1,,4,0,,,,,,,1.0,,,0.67,,,,,,,/en/squads/7fd9c2a2/1982/Chile-Men-Stats
INT-World Cup,1982,Czechoslovakia,20,27.9,,3,33,270,3.0,2,,,0,2,,2,1,,,,,,,0.67,,,0.0,,,,,,,/en/squads/969248b8/1982/Czechoslovakia-Men-Stats
INT-World Cup,1982,El Salvador,16,26.1,,3,33,270,3.0,1,,,1,0,,5,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/fc3dbeaa/1982/El-Salvador-Men-Stats
INT-World Cup,1982,England,17,27.3,,5,55,450,5.0,5,,,5,0,,3,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/1862c019/1982/England-Men-Stats
INT-World Cup,1982,France,21,27.0,,7,77,660,7.3,16,,,15,1,,6,0,,,,,,,2.18,,,2.05,,,,,,,/en/squads/b1b36dcd/1982/France-Men-Stats
INT-World Cup,1982,Honduras,16,26.8,,3,33,270,3.0,2,,,2,0,,1,1,,,,,,,0.67,,,0.67,,,,,,,/en/squads/a1f66233/1982/Honduras-Men-Stats
INT-World Cup,1982,Hungary,17,29.4,,3,33,270,3.0,12,,,12,0,,2,0,,,,,,,4.0,,,4.0,,,,,,,/en/squads/b4ac5e97/1982/Hungary-Men-Stats
INT-World Cup,1982,Italy,15,28.1,,7,77,630,7.0,12,,,12,0,,11,0,,,,,,,1.71,,,1.71,,,,,,,/en/squads/998c5958/1982/Italy-Men-Stats
INT-World Cup,1982,Kuwait,14,26.5,,3,33,270,3.0,2,,,2,0,,3,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/064dedda/1982/Kuwait-Men-Stats
INT-World Cup,1982,New Zealand,15,25.4,,3,33,270,3.0,2,,,2,0,,0,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/259855f0/1982/New-Zealand-Men-Stats
INT-World Cup,1982,Northern Ireland,17,27.4,,5,55,450,5.0,5,,,5,0,,4,1,,,,,,,1.0,,,1.0,,,,,,,/en/squads/16944ae1/1982/Northern-Ireland-Men-Stats
INT-World Cup,1982,Peru,13,29.2,,3,33,270,3.0,2,,,2,0,,2,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/f711c854/1982/Peru-Men-Stats
INT-World Cup,1982,Poland,18,26.3,,7,77,630,7.0,11,,,11,0,,10,0,,,,,,,1.57,,,1.57,,,,,,,/en/squads/8912dcf0/1982/Poland-Men-Stats
INT-World Cup,1982,Scotland,17,27.3,,3,33,270,3.0,8,,,8,0,,1,0,,,,,,,2.67,,,2.67,,,,,,,/en/squads/602d3994/1982/Scotland-Men-Stats
INT-World Cup,1982,Soviet Union,16,25.5,,5,55,450,5.0,7,,,7,0,,4,0,,,,,,,1.4,,,1.4,,,,,,,/en/squads/eb70026e/1982/Soviet-Union-Men-Stats
INT-World Cup,1982,Spain,19,26.7,,5,55,450,5.0,4,,,2,2,,6,0,,,,,,,0.8,,,0.4,,,,,,,/en/squads/b561dd30/1982/Spain-Men-Stats
INT-World Cup,1982,West Germany,16,27.1,,7,77,660,7.3,12,,,12,0,,8,0,,,,,,,1.64,,,1.64,,,,,,,/en/squads/c1e40422/1982/West-Germany-Men-Stats
INT-World Cup,1982,Yugoslavia,14,26.8,,3,33,270,3.0,2,,,1,1,,3,0,,,,,,,0.67,,,0.33,,,,,,,/en/squads/7dc9f983/1982/Yugoslavia-Men-Stats
INT-World Cup,1986,Algeria,17,28.4,,3,33,270,3.0,1,,,1,0,,2,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/1e2dba57/1986/Algeria-Men-Stats
INT-World Cup,1986,Argentina,18,26.4,,7,77,630,7.0,14,,,14,0,,12,0,,,,,,,2.0,,,2.0,,,,,,,/en/squads/f9fddd6e/1986/Argentina-Men-Stats
INT-World Cup,1986,Belgium,20,26.7,,7,77,720,8.0,12,,,11,1,,8,0,,,,,,,1.5,,,1.37,,,,,,,/en/squads/361422b9/1986/Belgium-Men-Stats
INT-World Cup,1986,Brazil,16,26.5,,5,55,480,5.3,10,,,8,2,,3,0,,,,,,,1.87,,,1.5,,,,,,,/en/squads/304635c3/1986/Brazil-Men-Stats
INT-World Cup,1986,Bulgaria,18,26.5,,4,44,360,4.0,2,,,2,0,,3,0,,,,,,,0.5,,,0.5,,,,,,,/en/squads/06d209d4/1986/Bulgaria-Men-Stats
INT-World Cup,1986,Canada,17,26.1,,3,33,270,3.0,0,,,0,0,,2,1,,,,,,,0.0,,,0.0,,,,,,,/en/squads/9c6d90a0/1986/Canada-Men-Stats
INT-World Cup,1986,Denmark,17,28.1,,4,44,360,4.0,10,,,8,2,,4,1,,,,,,,2.5,,,2.0,,,,,,,/en/squads/29a4e4af/1986/Denmark-Men-Stats
INT-World Cup,1986,England,19,26.8,,5,55,450,5.0,7,,,7,0,,8,1,,,,,,,1.4,,,1.4,,,,,,,/en/squads/1862c019/1986/England-Men-Stats
INT-World Cup,1986,France,21,27.9,,7,77,690,7.7,12,,,11,1,,6,0,,,,,,,1.57,,,1.43,,,,,,,/en/squads/b1b36dcd/1986/France-Men-Stats
INT-World Cup,1986,Hungary,17,27.5,,3,33,270,3.0,2,,,2,0,,0,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/b4ac5e97/1986/Hungary-Men-Stats
INT-World Cup,1986,Iraq,18,26.6,,3,33,270,3.0,1,,,1,0,,10,2,,,,,,,0.33,,,0.33,,,,,,,/en/squads/ec843efd/1986/Iraq-Men-Stats
INT-World Cup,1986,Italy,14,27.3,,4,44,360,4.0,4,,,3,1,,8,0,,,,,,,1.0,,,0.75,,,,,,,/en/squads/998c5958/1986/Italy-Men-Stats
INT-World Cup,1986,Korea Republic,17,27.3,,3,33,270,3.0,4,,,4,0,,7,0,,,,,,,1.33,,,1.33,,,,,,,/en/squads/473f0fbf/1986/Korea-Republic-Men-Stats
INT-World Cup,1986,Mexico,16,26.6,,5,55,480,5.3,6,,,6,0,,10,1,,,,,,,1.13,,,1.13,,,,,,,/en/squads/b009a548/1986/Mexico-Men-Stats
INT-World Cup,1986,Morocco,14,27.9,,4,44,360,4.0,3,,,3,0,,5,0,,,,,,,0.75,,,0.75,,,,,,,/en/squads/af41ccda/1986/Morocco-Men-Stats
INT-World Cup,1986,Northern Ireland,15,27.5,,3,33,270,3.0,2,,,2,0,,5,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/16944ae1/1986/Northern-Ireland-Men-Stats
INT-World Cup,1986,Paraguay,13,26.4,,4,44,360,4.0,4,,,4,0,,5,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/d2043442/1986/Paraguay-Men-Stats
INT-World Cup,1986,Poland,19,27.3,,4,44,360,4.0,1,,,1,0,,5,0,,,,,,,0.25,,,0.25,,,,,,,/en/squads/8912dcf0/1986/Poland-Men-Stats
INT-World Cup,1986,Portugal,16,28.4,,3,33,270,3.0,2,,,2,0,,2,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/4a1b4ea8/1986/Portugal-Men-Stats
INT-World Cup,1986,Scotland,19,27.3,,3,33,270,3.0,1,,,1,0,,5,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/602d3994/1986/Scotland-Men-Stats
INT-World Cup,1986,Soviet Union,20,25.6,,4,44,390,4.3,11,,,9,2,,2,0,,,,,,,2.54,,,2.08,,,,,,,/en/squads/eb70026e/1986/Soviet-Union-Men-Stats
INT-World Cup,1986,Spain,17,26.0,,5,55,480,5.3,11,,,9,2,,8,0,,,,,,,2.06,,,1.69,,,,,,,/en/squads/b561dd30/1986/Spain-Men-Stats
INT-World Cup,1986,Uruguay,18,26.2,,4,44,360,4.0,2,,,1,1,,11,2,,,,,,,0.5,,,0.25,,,,,,,/en/squads/870e020f/1986/Uruguay-Men-Stats
INT-World Cup,1986,West Germany,17,28.5,,7,77,660,7.3,8,,,8,0,,8,1,,,,,,,1.09,,,1.09,,,,,,,/en/squads/c1e40422/1986/West-Germany-Men-Stats
INT-World Cup,1990,Argentina,20,27.5,,7,77,690,7.7,5,,,5,0,,24,4,,,,,,,0.65,,,0.65,,,,,,,/en/squads/f9fddd6e/1990/Argentina-Men-Stats
INT-World Cup,1990,Austria,17,25.0,,3,33,270,3.0,2,,,2,0,,9,1,,,,,,,0.67,,,0.67,,,,,,,/en/squads/d5121f10/1990/Austria-Men-Stats
INT-World Cup,1990,Belgium,18,28.0,,4,44,390,4.3,6,,,6,0,,2,2,,,,,,,1.38,,,1.38,,,,,,,/en/squads/361422b9/1990/Belgium-Men-Stats
INT-World Cup,1990,Brazil,16,26.4,,4,44,360,4.0,4,,,4,0,,7,1,,,,,,,1.0,,,1.0,,,,,,,/en/squads/304635c3/1990/Brazil-Men-Stats
INT-World Cup,1990,Cameroon,18,27.1,,5,55,510,5.7,7,,,6,1,,14,2,,,,,,,1.24,,,1.06,,,,,,,/en/squads/896550da/1990/Cameroon-Men-Stats
INT-World Cup,1990,Colombia,14,26.9,,4,44,390,4.3,4,,,4,0,,5,0,,,,,,,0.92,,,0.92,,,,,,,/en/squads/ab73cfe5/1990/Colombia-Men-Stats
INT-World Cup,1990,Costa Rica,16,27.5,,4,44,360,4.0,4,,,4,0,,6,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/1ea5ab66/1990/Costa-Rica-Men-Stats
INT-World Cup,1990,Czechoslovakia,17,27.1,,5,55,450,5.0,10,,,8,2,,13,1,,,,,,,2.0,,,1.6,,,,,,,/en/squads/969248b8/Czechoslovakia-Men-Stats
INT-World Cup,1990,Egypt,16,26.4,,3,33,270,3.0,1,,,0,1,,4,0,,,,,,,0.33,,,0.0,,,,,,,/en/squads/b8889750/1990/Egypt-Men-Stats
INT-World Cup,1990,England,19,28.1,,7,77,720,8.0,8,,,6,2,,6,0,,,,,,,1.0,,,0.75,,,,,,,/en/squads/1862c019/1990/England-Men-Stats
INT-World Cup,1990,Italy,18,26.4,,7,77,660,7.3,10,,,9,1,,6,0,,,,,,,1.36,,,1.23,,,,,,,/en/squads/998c5958/1990/Italy-Men-Stats
INT-World Cup,1990,Korea Republic,19,26.9,,3,33,270,3.0,1,,,1,0,,6,1,,,,,,,0.33,,,0.33,,,,,,,/en/squads/473f0fbf/1990/Korea-Republic-Men-Stats
INT-World Cup,1990,Netherlands,18,27.7,,4,44,360,4.0,3,,,2,1,,5,1,,,,,,,0.75,,,0.5,,,,,,,/en/squads/5bb5024a/1990/Netherlands-Men-Stats
INT-World Cup,1990,Rep. of Ireland,16,28.3,,5,55,480,5.3,2,,,2,0,,4,0,,,,,,,0.37,,,0.37,,,,,,,/en/squads/62e09cb6/1990/Republic-of-Ireland-Men-Stats
INT-World Cup,1990,Romania,16,26.1,,4,44,390,4.3,4,,,3,1,,7,0,,,,,,,0.92,,,0.69,,,,,,,/en/squads/7def9493/1990/Romania-Men-Stats
INT-World Cup,1990,Scotland,18,28.0,,3,33,270,3.0,2,,,1,1,,3,0,,,,,,,0.67,,,0.33,,,,,,,/en/squads/602d3994/1990/Scotland-Men-Stats
INT-World Cup,1990,Soviet Union,18,27.7,,3,33,270,3.0,4,,,4,0,,3,1,,,,,,,1.33,,,1.33,,,,,,,/en/squads/eb70026e/Soviet-Union-Men-Stats
INT-World Cup,1990,Spain,18,26.6,,4,44,390,4.3,6,,,5,1,,4,0,,,,,,,1.38,,,1.15,,,,,,,/en/squads/b561dd30/1990/Spain-Men-Stats
INT-World Cup,1990,Sweden,17,25.3,,3,33,270,3.0,3,,,3,0,,4,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/296f69e7/1990/Sweden-Men-Stats
INT-World Cup,1990,UAE,16,24.0,,3,33,270,3.0,2,,,2,0,,7,2,,,,,,,0.67,,,0.67,,,,,,,/en/squads/78cdba77/1990/United-Arab-Emirates-Men-Stats
INT-World Cup,1990,United States,16,23.7,,3,33,270,3.0,2,,,2,0,,7,1,,,,,,,0.67,,,0.67,,,,,,,/en/squads/0f66725b/1990/United-States-Men-Stats
INT-World Cup,1990,Uruguay,18,26.9,,4,44,360,4.0,2,,,2,0,,9,0,,,,,,,0.5,,,0.5,,,,,,,/en/squads/870e020f/1990/Uruguay-Men-Stats
INT-World Cup,1990,West Germany,17,27.1,,7,77,660,7.3,15,,,13,2,,8,1,,,,,,,2.05,,,1.77,,,,,,,/en/squads/c1e40422/1990/West-Germany-Men-Stats
INT-World Cup,1990,Yugoslavia,17,27.9,,5,55,510,5.7,8,,,8,0,,8,1,,,,,,,1.41,,,1.41,,,,,,,/en/squads/7dc9f983/Yugoslavia-Men-Stats
INT-World Cup,1994,Argentina,17,26.7,,4,44,360,4.0,8,,,6,2,,9,0,,,,,,,2.0,,,1.5,,,,,,,/en/squads/f9fddd6e/1994/Argentina-Men-Stats
INT-World Cup,1994,Belgium,17,30.3,,4,44,360,4.0,4,,,4,0,,6,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/361422b9/1994/Belgium-Men-Stats
INT-World Cup,1994,Bolivia,18,28.6,,3,33,270,3.0,1,,,1,0,,8,3,,,,,,,0.33,,,0.33,,,,,,,/en/squads/1bd2760c/1994/Bolivia-Men-Stats
INT-World Cup,1994,Brazil,18,27.8,,7,77,660,7.3,11,,,10,1,,8,1,,,,,,,1.5,,,1.36,,,,,,,/en/squads/304635c3/1994/Brazil-Men-Stats
INT-World Cup,1994,Bulgaria,17,27.8,,7,77,660,7.3,10,,,7,3,,23,4,,,,,,,1.36,,,0.95,,,,,,,/en/squads/06d209d4/1994/Bulgaria-Men-Stats
INT-World Cup,1994,Cameroon,18,26.4,,3,33,270,3.0,3,,,3,0,,5,1,,,,,,,1.0,,,1.0,,,,,,,/en/squads/896550da/1994/Cameroon-Men-Stats
INT-World Cup,1994,Colombia,16,27.9,,3,33,270,3.0,4,,,4,0,,7,0,,,,,,,1.33,,,1.33,,,,,,,/en/squads/ab73cfe5/1994/Colombia-Men-Stats
INT-World Cup,1994,Germany,18,29.0,,5,55,450,5.0,9,,,8,1,,13,0,,,,,,,1.8,,,1.6,,,,,,,/en/squads/c1e40422/1994/Germany-Men-Stats
INT-World Cup,1994,Greece,22,28.7,,3,33,270,3.0,0,,,0,0,,8,0,,,,,,,0.0,,,0.0,,,,,,,/en/squads/811d90a4/1994/Greece-Men-Stats
INT-World Cup,1994,Italy,20,27.1,,7,77,690,7.7,8,,,7,1,,11,2,,,,,,,1.04,,,0.91,,,,,,,/en/squads/998c5958/1994/Italy-Men-Stats
INT-World Cup,1994,Korea Republic,16,26.9,,3,33,270,3.0,4,,,4,0,,6,0,,,,,,,1.33,,,1.33,,,,,,,/en/squads/473f0fbf/1994/Korea-Republic-Men-Stats
INT-World Cup,1994,Mexico,18,27.2,,4,44,390,4.3,4,,,3,1,,11,2,,,,,,,0.92,,,0.69,,,,,,,/en/squads/b009a548/1994/Mexico-Men-Stats
INT-World Cup,1994,Morocco,19,25.6,,3,33,270,3.0,2,,,2,0,,10,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/af41ccda/1994/Morocco-Men-Stats
INT-World Cup,1994,Netherlands,17,27.1,,5,55,450,5.0,8,,,8,0,,12,0,,,,,,,1.6,,,1.6,,,,,,,/en/squads/5bb5024a/1994/Netherlands-Men-Stats
INT-World Cup,1994,Nigeria,17,25.6,,4,44,390,4.3,7,,,7,0,,9,0,,,,,,,1.62,,,1.62,,,,,,,/en/squads/10abc743/1994/Nigeria-Men-Stats
INT-World Cup,1994,Norway,16,26.5,,3,33,270,3.0,1,,,1,0,,6,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/599eba19/1994/Norway-Men-Stats
INT-World Cup,1994,Rep. of Ireland,17,28.3,,4,44,360,4.0,2,,,2,0,,8,0,,,,,,,0.5,,,0.5,,,,,,,/en/squads/62e09cb6/1994/Republic-of-Ireland-Men-Stats
INT-World Cup,1994,Romania,17,25.8,,5,55,480,5.3,10,,,10,0,,12,1,,,,,,,1.87,,,1.87,,,,,,,/en/squads/7def9493/1994/Romania-Men-Stats
INT-World Cup,1994,Russia,22,25.5,,3,33,270,3.0,7,,,5,2,,9,2,,,,,,,2.33,,,1.67,,,,,,,/en/squads/21ced9fe/1994/Russia-Men-Stats
INT-World Cup,1994,Saudi Arabia,17,24.1,,4,44,360,4.0,5,,,4,1,,10,0,,,,,,,1.25,,,1.0,,,,,,,/en/squads/6e84edac/1994/Saudi-Arabia-Men-Stats
